Date,Startup,type,SubVertical,city,Investors Name,investment type,Amount cr
,MOBIQUEST,Technology,Mobile Services & Solutions,Noida,One97 Communication Ltd,Private Equity,0.0
,AMBEE,Consumer Internet,Ambulance Aggregation Services,Hyderabad,"Uber Technologies Inc, Amaya Capital LLP",Seed Funding,0.0
,IDEAL INSURANCE,Consumer Internet,Online Insurance platform,Kolkata,Xelpmoc,Seed Funding,0.0
,HYPERNOVA INTERACTIVE,Technology,Mobile games creator,Bangalore,Kae Capital,Seed Funding,0.0
,RENTOMOJO,Consumer Internet,Consumer Leasing Platform,Bangalore,"ain Capital Ventures, Renaud Laplanche",Private Equity,140.0
,AIRCTO,Consumer Internet,AI powered recruitment platform,Bangalore,Francesco Cara,Seed Funding,0.0
,PLAYABLO,Technology,Gamified Learning App,Bangalore,ABI-Showatech (India) Ltd,Seed Funding,8.4
,TRUPAY,Technology,Online payments platform,Gurgaon,"Kae Capital, M&S Partners,",Seed Funding,9.8
,BRICK2WALL,eCommerce,Online Marketplace for Construction Material,Gurgaon,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed Funding,2.8
,FABLESTREET,eCommerce,Women Work wear etailer,New Delhi,"Harmeet Bajaj, Pameela P, Fusiontech Ventures & Others",Seed Funding,0.0
,MONSOON FINTECH,Technology,Machine Learning Access platform,New Delhi,"Sunil Kalra, Aditya Singh, Rishi Srivastava, Rajan Anandan",Seed Funding,0.0
,MONKEYBOX,Consumer Internet,Healthy Food Delivery Platform,Bangalore,"Blume Ventures, NB Ventures, Nspira",Seed Funding,0.0
,NOTICEBOARD,Consumer Internet,Mobile-first Enterprise communication platform,Bangalore,"Stellaris Venture Partners,",Private Equity,16.8
,BYJUS,Consumer Internet,Mobile Learning App,Bangalore,Tencent Holdings,Private Equity,490.0
,CREATORS GURUKUL,Others,Co-Working Space Provider,New Delhi,Yuvraj Singh,Seed Funding,0.0
,FAB HOTELS,Consumer Internet,Budget hotels brand & Aggregator Platform,New Delhi,Goldman Sachs,Private Equity,350.0
,THINKERBELL,Consumer Internet,Assisted Learning Startup,Bangalore,"Indian Angel Network, Anand Mahindra",Seed Funding,2.8
,1MG,eCommerce,Online Pharmacy,Gurgaon,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital",Private Equity,210.0
,JHAKAAS,Consumer Internet,App-based Aggregator of Offline Businesses,Mumbai,Amen Dhyllon,Seed Funding,0.0
,BIGSTYLIST,Consumer Internet,Beauty Services Marketplace,Mumbai,Info Edge (India) Ltd,Private Equity,17.5
,GYMPIK,Consumer Internet,online marketplace for discovering fitness centres,Bangalore,RoundGlass Partners,Seed Funding,0.0
2017-01-06,TRIPEUR,Technology,Mobile based travel ERP platform,Bangalore,"Grace Grace Techno Ventures LLP, Rajul Garg & Other undisclosed investors",Seed Funding,0.0
2017-02-06,RENTONGO,eCommerce,"Online Marketplace for Renting Bikes, Electronics & Appliances",Bangalore,TVS Motor Company,Seed Funding,3.276
2017-05-06,GOOMO,Consumer Internet,Online Travel & Holiday Booking platform,Mumbai,Emerging India,Private Equity,700.0
2017-05-06,MAXMYWEALTH,Consumer Internet,Online Wealth Management & Savings platform,Mumbai,"lockchain ecosystem Global Advisors, Horseferry",Private Equity,0.0
2017-06-06,SPINNY,eCommerce,Online Used Car marketplace,Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private Equity,14.0
2017-06-06,HEALTHBUDS,Consumer Internet,Healthcare Discovery & booking platform,Kolkata,"Arun Patodia, Bharat Kedia",Seed Funding,0.0
2017-06-06,FTCASH,Consumer Internet,Mobile Payments platform,Mumbai,"500 Startups, IvyCap Ventures",Private Equity,0.0
2017-06-06,BHIVE WORKSPACE,Consumer Internet,co-working spaces,Bangalore,Blume Ventures,Private Equity,16.8
2017-06-06,WAYFORWARD,Consumer Internet,Mobile app for Mental Health,New Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Seed Funding,14.0
2017-06-06,GYANDHAN,Consumer Internet,Education Marketplace,New Delhi,Sundaram Finance Holdings,Private Equity,0.0
2017-06-06,HUNGRY FOAL,Consumer Internet,For profit Social Venture,Gurgaon,SBI (Stand Up India Scheme),Private Equity,0.0
2017-07-06,ZIPLOAN,Consumer Internet,Online lending platform,New Delhi,WaterBridge Ventures,Seed Funding,9.1
2017-07-06,GROWFITTER,Consumer Internet,health and fitness discovery platform,Mumbai,SQue Capital,Seed Funding,8.4
2017-08-06,STRATFIT,Consumer Internet,Health coaching programs,Hyderabad,Bodhtree Consulting Limited,Seed Funding,3.248
2017-08-06,MULTIPLIER SOLUTIONS,Technology,CRM Software for Healthcare space,Hyderabad,Norwest Venture Partners,Private Equity,21.0
2017-08-06,ABI HEALTH,Technology,Unified Digital Health Platform,Bangalore,Norwest Venture Partners,Private Equity,21.0
2017-08-06,STOCKAL,Consumer Internet,App-based Investment advisory Services,Bangalore,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",Seed Funding,4.9
2017-09-06,GUIDOO,Consumer Internet,Travel & adventure planning platform,Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",Seed Funding,4.2
2017-09-06,ESAHAI.IN,Consumer Internet,ambulance aggregator and medical taxi provider,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",Seed Funding,3.5
2017-12-06,LOANMEET,Consumer Internet,Online peer-to-peer lending platform,Bangalore,"Cao Yibin, Huang Wei, Madhusudan E,",Seed Funding,0.0
2017-12-06,LENDINGKART,Consumer Internet,Online Lending platform,Ahmedabad,Yes Bank,Debt Funding,109.2
2017-12-06,BOXX.AI,Technology,Artificial Intelligence,Bangalore,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private Equity,7.0
2017-12-06,PEESAFE.IN,Healthcare,Hygiene care product manufacturer,New Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private Equity,14.0
2017-12-06,VISTA ROOMS,Consumer Internet,Online rooms aggregation platform,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Seed Funding,10.864
2017-12-06,COVERFOX,Consumer Internet,Online insurance brokerage platform,Mumbai,Transamerica,Private Equity,210.0
,HYPERTRACK,Technology,Location tracking solutions,New Delhi,"Nexus Venture Partners, Founders Fund",Private Equity,0.0
,GOODERA,Technology,CSR and sustainability management platform,Bangalore,"Nexus Venture Partners, Omidyar Network",Private Equity,77.0
,DIGIT,Technology,Tech driven Insurance platform,Bangalore,Fairfax Holdings,Private Equity,0.0
,OLA,Consumer Internet,Cab Aggregation App,Bangalore,Tekne Capital Management LLC,Private Equity,700.0
,VANITYCASK,Consumer Internet,Beauty products discovery platform,Mumbai,RB Investments,Seed Funding,0.0
,MRNEEDS,Consumer Internet,Micro Food Delivery platform,Noida,undisclosed investors,Seed Funding,7.0
,MONEYTAP,Consumer Internet,Money Lending platform,Bangalore,"Sequoia India, NEA, Prime Venture Partners",Private Equity,172.2
,GOODBOX,eCommerce,Mobile SAAS\\xc2\\xa0 ECommerce platform for SMEs,Bangalore,"Nexus Venture Partners, Mekin Maheshwari",Private Equity,14.0
,FINCASH,Consumer Internet,Personal Finance platform,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed Funding,1.4
,PORTDESK,Technology,Maritime Solutions,Noida,Alphard Maritime Group,Seed Funding,28.0
,EDGEFX,eCommerce,DIY project Kits seller,Hyderabad,"Cross Border Angels & Experts, Rajasthan Angel Innovators Network, The Chennai Angels",Seed Funding,0.0
,EAZYDINER,Consumer Internet,Online Restaurant Reservation Platform,Gurgaon,YouWeCan Ventures,Seed Funding,0.0
,HEALTHINTEL,Healthcare,Online Pharmacy,New Delhi,BLIP Initiatives,Seed Funding,0.0
,UNBXD,Technology,Cloud-based product discovery platform,Bangalore,Eight Roads Ventures,Private Equity,175.0
,DARWINBOX,Technology,Enterprise human resources management platform,Hyderabad,"Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP",Private Equity,56.0
,FOREVERSHOP,Consumer Internet,Mobile based ecommerce platform,Bangalore,91maker.com,Seed Funding,4.2
,INSIDER.IN,Consumer Internet,Events Ticketing platform,Mumbai,Paytm,Private Equity,72.8
,FYND,eCommerce,Fashion etailer,Mumbai,"IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital",Private Equity,33.6
,GROW FIT,Consumer Internet,Health-Tech platform,Bangalore,"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust",Private Equity,63.0
,FABULYST,Technology,Artificial Intelligence based platform,Hyderabad,iBhubs,Seed Funding,3.01
,MSWIPE,Technology,Point-of-Sale services,Mumbai,"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners",Private Equity,434.0
,ONEASSIST,Consumer Internet,Credit card fraud protection,Mumbai,Sequoia Capital,Private Equity,0.0
,JULIA COMPUTING,Technology,Open Source Language for Data Science and Machine Learning,Bangalore,"General Catalyst, Founder Collective",Private Equity,64.4
,KISSHT,Consumer Internet,Consumer Lending platform,Mumbai,"Endiya Partners, Ventureast",Private Equity,28.0
,EXPLORE LIFE TRAVELING,Consumer Internet,Local homes booking platform,Bangalore,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed Funding,7.0
,LOANTAP,Consumer Internet,Lending platform for salaried professionals,Mumbai,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",Private Equity,56.0
,VOXWEB,Consumer Internet,Mobile based social networking platform,Mumbai,Undisclosed investors,Seed Funding,14.0
,HUG INNOVATIONS,Technology,Gesture based\\xc2\\xa0 Smartwatch manufacturer,Hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private Equity,70.0
,FLIPKART,eCommerce,Online marketplace,Bangalore,Naspers,Private Equity,994.0
,V RESORTS,Consumer Internet,Holiday & Vacation resort aggregator,Noida,"Seedfund, RB International",Private Equity,56.0
,STASHFIN,Consumer Internet,Personal Finance App,New Delhi,"Snow Leopard Ventures, Alto Partners",Private Equity,70.0
,FORMCEPT,Consumer Internet,Unified Data Analysis platform,Bangalore,Gujarat Venture Finance Ltd,Private Equity,0.0
,SPARES HUB,eCommerce,Automobile parts marketplace,Pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed Funding,4.354
,FITRAQ,Consumer Internet,Fitness Centre Discovery Platform,New Delhi,"Aparup Sengupta, Devendra Reddy,",Seed Funding,0.0
,RUBIQUE,Consumer Internet,Online Marketplace for financial products,Mumbai,"Kalaari Capital, Udayan Goyal",Private Equity,42.0
,NIKI.AI,Consumer Internet,AI Based Personal Assistant,Bangalore,"SAP.iO, Unilazer Ventures",Private Equity,28.0
,FITPASS,Consumer Internet,Online Fitness Marketplace,New Delhi,"Abhinav Bindra, Gaurav Marya",Private Equity,14.0
,ZINGHR,Technology,"digital employee solutions,",Mumbai,Zeta,Private Equity,0.0
,TAGOS DESIGN,Technology,in-video discovery platform,Bangalore,Undisclosed Investors,Private Equity,70.0
,URBANCLAP,Consumer Internet,Mobile Services Marketplace,Gurgaon,"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",Private Equity,294.0
2017-01-05,ACE2THREE,Consumer Internet,Online Rummy playing Website,Hyderabad,Clairvest Group,Private Equity,1031.8
2017-01-05,POWER2SME,eCommerce,Buying portal for SMEs,Gurgaon,International Finance Corporation,Private Equity,140.0
2017-02-05,INNOVAPPTIVE,Technology,Enterprise Mobility Solutions,Hyderabad,Hyderabad Angels,Seed Funding,21.0
2017-02-05,4TIGO,Logistics,Truck Network company,Bangalore,"Accel Partners, Nandan Nilekani,",Private Equity,140.0
2017-02-05,SMECORNER,Consumer Internet,Online Platform for small business loans,Mumbai,Dutch government fund,Private Equity,0.0
2017-02-05,ZIPPSERVE,Consumer Internet,Real estate risk assessment platform,Bangalore,undisclosed investors,Seed Funding,5.46
2017-03-05,OLA,Consumer Internet,Cab Aggregation App,Bangalore,"Falcon Edge Capital,\\xc2\\xa0 Capital Advisers",Private Equity,1463.0
2017-03-05,SUMERU,Technology,Software & Mobile development services,Bangalore,undisclosed investors,Seed Funding,14.0
2017-04-05,HEALTHIANS,Consumer Internet,Online Diagnostics and wellness platform,New Delhi,"Asuka Holdings, YouWeCan Ventures, Beenext, Beenos, M&S Partners",Private Equity,0.0
2017-05-05,HEALTHMIR,Consumer Internet,AI-based health content platform,New Delhi,Nimit Panigrahi,Seed Funding,0.0
2017-05-05,UACTIVE,Consumer Internet,Health-based social networking & discovery App,Mumbai,Hinduja family,Seed Funding,0.0
2017-05-05,I-LEND,Consumer Internet,Peer-to-peer lending platform,Hyderabad,50K Ventures,Seed Funding,0.0
2017-05-05,GOOD METHODS GLOBAL,Technology,Cloud Based Practice Management Software,Trivandrum,Accel Partners,Private Equity,0.0
2017-05-05,BALANCE APP,Consumer Internet,Money Savings & Management App,Bangalore,Rainmatter,Seed Funding,3.262
2017-08-05,YEPME,eCommerce,Private Label Fashion etailer,Gurgaon,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",Private Equity,9.8
2017-08-05,NIGHTSTAY,Consumer Internet,Last minute hotel booking mobile app,New Delhi,"Indian Angels Network, LetsVenture",Seed Funding,0.0
2017-08-05,DEVOURIN,Technology,Restaurant Automation Solution,Pune,Deepak Nathani,Seed Funding,0.0
2017-08-05,MYGREENS,Food & Beverage,Cold-press Juices manufacturer,New Delhi,"Ajay Relan, LetsVenture",Seed Funding,14.0
2017-08-05,ACE TURTLE,Technology,Omni-Channel Platform,Bangalore,"Vertex Ventures, C31 Ventures",Private Equity,70.0
2017-08-05,CUREFIT,Technology,Health-Tech Platform,Bangalore,"Trifecta Capital Advisors LLP, Prathithi Investment Trust, RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others",Private Equity,44.8
2017-09-05,CURIE LABS,Technology,Energy Analytics startup,New Delhi,Satoshi Studios,Seed Funding,0.7
2017-09-05,UNCANNY VISION,Technology,Computer Vision on Embedded Systems,Bangalore,Anand Chandrasekaran,Seed Funding,0.0
2017-09-05,ANCHANTO,Technology,Ecommerce Fulfilment and Technology Platform,Pune,Luxasia Group,Private Equity,0.0
2017-09-05,SEQURETEK,Technology,IT Security & Data Management Services,Mumbai,"GVFL, Unicorn India Ventures",Private Equity,0.0
2017-10-05,LUCIDEUS,Technology,Cyber Security Startup,New Delhi,"Vellayan Subbiah, Jonathan Boutelle, Rajan Anandan,\\xc2\\xa0 Rahul Chawla, Salil Donde, Amit Ranjan, Govind Rajan & Others",Seed Funding,0.0
2017-10-05,VIDOOLY,Consumer Internet,Video Intelligence platform,Noida,"Times Internet, GVFL",Private Equity,19.6
2017-10-05,SHOPCLUES,eCommerce,Online marketplace,Gurgaon,InnoVen Capital,Private Equity,107.8
2017-10-05,FOURTH AMBIT,Consumer Internet,Community Building platform,Bangalore,1Crowd,Seed Funding,8.4
2017-10-05,CHYMERA VR,Technology,Advertising Platform for Virtual Reality,Bangalore,"Varsha Rao, Surojit Chatterjee, Nirav Choksi & Others",Seed Funding,0.0
2017-11-05,EARLY SALARY,Consumer Internet,Online lending platform,Pune,"DG Ventures India, Dewan Housing Finance Corp",Private Equity,56.0
2017-11-05,BOOK MY DIAMOND,eCommerce,Diamond B2B eTailer,Mumbai,Chirag Nikunj Sheth & Others,Seed Funding,0.0
2017-11-05,ION ENERGY,Technology,Clean Tech Startup,Mumbai,"Aakrit Vaish, Swapan Rajdev, Sushill Jiwarajka",Seed Funding,0.0
2017-12-05,LEGAL RAASTA,Consumer Internet,Legal Services to SMEs & Individuals,New Delhi,Impanix Capital,Private Equity,70.0
2017-12-05,LOG 9 MATERIALS,Technology,NanoTech product developer,Bangalore,GEMs,Seed Funding,0.0
2017-12-05,REMIT GURU,Consumer Internet,Digital money transfer platform,Mumbai,"Infibeam, CCavenue",Private Equity,6.524
2017-12-05,AEQUM,eCommerce,Cloud ECommerce platform,Bangalore,undisclosed investors,Seed Funding,14.0
,ZAPTY,Technology,Project Management tool,Bangalore,IdeaSpring Capital,Seed Funding,7.0
,VERNACULAR.AI,Technology,Multi-lingual AI Platform for Businesses,Bangalore,Kstart Capital,Seed Funding,0.0
,NIKI.AI,Technology,AI-based chatbot,Bangalore,SAP,Private Equity,0.0
,TELR,Technology,Online Payment Gateway,Mumbai,Innovations East,Private Equity,42.0
,FYND,eCommerce,Fashion ECommerce Portal,Mumbai,Rocketship,Private Equity,7.0
,GENIE,Consumer Internet,hyperlocal delivery and logistics mobile app,Chennai,undisclosed investors,Seed Funding,3.5
,PAYSENSE,Consumer Internet,Online Lending platform,Mumbai,Jungle Ventures,Private Equity,74.2
,THE GOOD LIFE,ECommerce,Online Luxury Tea etailer,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed Funding,14.0
,PUMPKART,eCommerce,Online Water Pumps etailer,Chandigarh,Dr. Ritesh Malik,Seed Funding,0.0
,PAYTM,ECommerce,Mobile Wallet & ECommerce platform,Bangalore,SoftBank Group,Private Equity,19600.0
,EZCRED,Consumer Internet,Consumer Lending Platform,Bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed Funding,14.0
,HEALTHSUTRA,Food & Beverage,Health Food Maker,Hyderabad,"Ankur Capital, Hyderabad Angels",Seed Funding,0.0
,YEPME,eCommerce,Private Fashion Brand etailer,New Delhi,Gokaldas Exports Ltd,Private Equity,0.0
,DELHIVERY,Logistics,ECommerce Logistics provider,New Delhi,Fosun International,Private Equity,420.0
,ZIPGRID,Consumer Internet,"Cashless, paperless solutions for Housing societies",Mumbai,"JLL, 1Crowd",Seed Funding,7.0
,TRAVELSPICE,ECommerce,Travel ECommerce portal,Hyderabad,Eagle10 Ventures,Seed Funding,0.0
,MAGICPIN,Consumer Internet,Hyperlocal discovery platform,Gurgaon,"Lightspeed Venture Partners, Vy Capital,",Private Equity,92.4
,THE PRINT,Consumer Internet,News Portal,New Delhi,"Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody",Seed Funding,0.0
,BOX8,Consumer Internet,Food Delivery Platform,Mumbai,Trifecta Capital,Private Equity,14.0
,GENNEXT STUDENTS,Consumer Internet,Online Tutoring Services,Mumbai,Undisclosed Investors,Seed Funding,8.12
,AYE FINANCE,Finance,Non-Banking Financial Company,Gurgaon,Blue Orchard,Private Equity,112.0
,WHATSLOAN,Consumer Internet,Online Lending mobile app,Bangalore,Lahiri Music\\xe2\\x80\\x99s family office,Seed Funding,0.0
,NIVESH,Consumer Internet,Online MF investment platform,Noida,"PV Sahad, Sandeep Shroff, Rahul Gupta",Seed Funding,0.0
,WOWFLUX,Technology,image Processing solution,New Delhi,Undisclosed Investors,Seed Funding,0.0
,COLLATERAL MEDICAL,eCommerce,Online Medical equipment supplier,Mumbai,Carpediem Capital,Private Equity,49.0
,LOADSHARE,Logistics,Express Logistics Network,Bangalore,Matrix Partners,Seed Funding,0.0
,SIMPLILEND,Consumer Internet,Online lending platform,New Delhi,Undisclosed Investors,Seed Funding,0.0
,SUPR DAILY,Consumer Internet,Subscription based delivery platform,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private Equity,21.0
,SWIGGY,Consumer Internet,Online food delivery platform,Bangalore,"Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",Private Equity,1120.0
,SASTASUNDAR,eCommerce,Online Pharmacy,Kolkata,Rohto Pharmaceutical,Private Equity,70.0
,MAGICPIN,Consumer Internet,Hyperlocal Discovery\\xc2\\xa0 & Rewards platform,Gurgaon,"Lightspeed India Partners, Waterbridge Ventures",Private Equity,98.0
2017-01-04,CASHE,Consumer Internet,Online & Mobile based Lending platform,Mumbai,"Mathew Cyriac, Florintree Advisors,",Private Equity,53.2
2017-03-04,ERUDITUS,Education,Executive Education Provider,Mumbai,Bertelsmann India,Private Equity,114.8
2017-03-04,TESTBOOK,Consumer Internet,Online Test Preparation Platform,Mumbai,Matrix Partners India,Private Equity,0.0
2017-03-04,HEALTHCARE AT HOME,Healthcare,Home Healthcare Provider,Noida,Quadria Capital Advisors,Private Equity,560.0
2017-03-04,TYRE EXPRESS,Technology,Enterprise IoT solutions For Tyre Performance,Mumbai,Rohitash Gupta,Seed Funding,0.0
2017-03-04,SMARTCOIN,Consumer Internet,Micro Lending platform,Bangalore,Unicorn India Ventures & Others,Private Equity,0.0
2017-04-04,WAYCOOL,Food & Beverage,Fresh-Produce Distribution Platform,Chennai,Aspada Investments,Private Equity,37.8
2017-04-04,PERFIOS,Technology,Fin-Tech Solutions,Bangalore,Bessemer Venture Partners,Private Equity,85.4
2017-04-04,WHATFIX,Technology,Interactive Tech-Support Guides,Bangalore,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",Private Equity,51.66
2017-04-04,ELASTIRUN,Technology,App based Logistics & Distribution platform,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,98.0
2017-04-04,TRUKKY,Consumer Internet,Online Truck Aggregator & Booking platform,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed Funding,7.0
2017-04-04,KONSULT APP,Consumer Internet,App based Doctor Consulting platform,New Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others",Seed Funding,7.0
2017-05-04,CREDIT SUDHAAR,Consumer Internet,Credit Score Improvement platform,Mumbai,"Deepak Kulkarni, Sandeep Pangal",Seed Funding,0.0
2017-05-04,FINGERLIX,Consumer Internet,Food Delivery Platform,Mumbai,Zephyr Peacock India,Private Equity,42.0
2017-05-04,DATAWEAVE,Technology,Business Intelligence Solutions,Bangalore,"FreakOut Group, Blume Ventures, Herb Madan, WaterBridge Ventures",Private Equity,0.0
2017-06-04,MEDWELL VENTURES,Healthcare,Home-Based Healthcare provider,Bangalore,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,294.0
2017-06-04,MECH MOCHA,Consumer Internet,Mobile gaming startup,Bangalore,"Accel Partners, Shunwei Capital",Private Equity,70.0
2017-07-04,STARTUP BUDDY,Consumer Internet,Startup Support Platform,Gurgaon,"YouWeCan Ventures,",Seed Funding,0.0
2017-07-04,QORQI,Healthcare,Online Healthcare provider,Noida,Paytm,Seed Funding,0.0
2017-07-04,TWENTY TWO MOTORS,Technology,Smart Scooter manufacturer,Gurgaon,"Ishwar Singh,Farhaan Shabbir",Seed Funding,0.0
2017-07-04,PHARMEASY,eCommerce,Online Pharmacy,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",Private Equity,252.0
2017-08-04,WONDERCHEF,eCommerce,Online marketplace for kitchen products,Mumbai,Labruyere Eberl\\xc3\\xa9,Private Equity,0.0
2017-08-04,FASTFOX,Consumer Internet,Online rental discovery platform,Gurgaon,"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners",Private Equity,64.4
2017-10-04,OMNIFY,Technology,SaaS platform for SMEs,Bangalore,"Rajan Anandan, L.D Sharma, Saurabh Arora",Seed Funding,2.1
2017-10-04,CAPITAL FLOAT,Consumer Internet,Online Lending Platform for SME,Bangalore,Mahindra and Mahindra Financial Services,Private Equity,32.2
2017-11-04,NINJACART,eCommerce,B2B agri-marketing platform,Bangalore,"Accel Partners, Nandan Nilekani\\xe2\\x80\\x99s NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners",Private Equity,77.0
2017-11-04,MERGERWARE,Technology,Software solutions for M&As,Bangalore,Philippe Bouchet,Seed Funding,1.4
2017-11-04,SPORTS FLASHES,Consumer Internet,Online Sports portal & Mobile app,New Delhi,"Sushil Kumar, Sandeep Singh",Seed Funding,0.0
2017-12-04,CLOVIA,eCommerce,Online lingerie & Sleepwear etailer,New Delhi,"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal",Private Equity,56.0
2017-12-04,EMIZA,Logistics,Third Party Logistics provider,Mumbai,"Mayfield, Nishant Rao, Dileep Nath",Private Equity,63.0
2017-12-04,HACKEREARTH,Consumer Internet,Online Skill Assessment Platform,Bangalore,"DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach",Private Equity,63.0
2017-12-04,SQUADRUN,Technology,Software-As-a-Service Platform,Noida,"Blume Ventures, Contrarian Capital, 91springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",Private Equity,29.4
2017-12-04,TINMEN,Consumer Internet,Food Delivery Platform,Hyderabad,"MAPE Advisory Group, R Ramaraj, Corvus Ventures",Seed Funding,0.0
2017-12-04,SCOUTMYTRIP,Consumer Internet,Online Travel planner,Mumbai,Z Nation Lab,Seed Funding,0.0
,SAFETYKART,eCommerce,Safety & Hygiene Products etailer,Gurgaon,Redcliffe Capital,Private Equity,0.0
,WEAREHOLIDAYS,Consumer Internet,Travel Packages & Planner marketplace,Gurgaon,"Urrshila Kerkar,",Private Equity,107.8
,OLA CABS,Consumer Internet,Cab Aggregator App,Bangalore,SIMI Pacific Pte,Private Equity,3640.0
,MYLY,Consumer Internet,Mobile App for Schools,Jaipur,mall Industries Development Bank of India (SIDBI),Seed Funding,4.34
,CREDIHEALTH,Consumer Internet,Online Medical Assistance platform,Gurgaon,"Tolaram Inc, Mountain Pine Capital",Private Equity,21.0
,NAVIA LIFE CARE,Technology,Health Technology platform,New Delhi,Benori Ventures LLP,Seed Funding,0.0
,RAW PRESSERY,Food & Beverages,Raw Pressed Juices manufacturer,Mumbai,Jacqueline Fernandez,Seed Funding,0.0
,SNACKIBLE,Food & Beverages,Healthy Snacks manufacturer,Mumbai,"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair",Seed Funding,2.45
,BE U SALONS,Consumer Internet,Online Salon discovery & Booking Services,New Delhi,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra",Seed Funding,8.68
,SIMULANIS,Consumer Internet,eLearning & Skills Development plat,New Delhi,Village Capital,Seed Funding,0.0
,LENDINGKART,Consumer Internet,Lending platform for small businesses,Ahmedabad,Anicut Capital,Private Equity,65.1
,INNEFU SECURITY CONSULTING,Technology,Cyber Security solutions using AI,New Delhi,IndiaNivesh Venture Capital Fund,Private Equity,28.0
,WHODAT,Technology,Markerless AR platform,Bangalore,Ideaspring Capital,Private Equity,8.4
,ABSENTIA VR,Technology,Virtual Reality Startup,Bangalore,Exfinity Venture Partners,Private Equity,17.5
,IOTREK,Technology,IoT Platform for Bus,New Delhi,Undisclosed Investor,Seed Funding,2.17
,HOLACHEF,Consumer Internet,Online Food Delivery,Mumbai,"SIDBI Venture Capital Ltd, Kalaari Capital",Private Equity,42.0
,WOOPLR,eCommerce,Social Commerce\\xc2\\xa0 Fashion platform,Bangalore,Ankit Nagori,Private Equity,0.0
,VIDEO KEN,Consumer Internet,Video Based Collaborative Learning,Bangalore,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddi",Seed Funding,14.0
,FAASOS,Food & Beverage,QSR chain and online food delivery,Pune,"Ligthbox Ventures II, Lightbox Expansion Fund, Sequoia Capital India, RuNet South Asia, RB Investments",Private Equity,88.2
,OYO ROOMS,Consumer Internet,Branded Budget Hotels Aggregator,Gurgaon,"SoftBank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners",Private Equity,3500.0
